date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:19	87055/87055	---M-Z	200	added ('OK')	text/html	etag:%2217c0dc-41c7-52c5816c05180%22	http://www.grras.com/	C:/My%20Web%20Sites/My_Project/www.grras.com/index.html	(from )
16:25:19	572/572	---M--	200	added ('OK')	text/plain	etag:%2217460f-23c-5254417ed8840%22	http://www.grras.com/robots.txt		(from )
16:25:21	294/294	---MCZ	302	error ('Moved%20Temporarily')	text/html	date:Mon,%2022%20Feb%202016%2010:54:55%20GMT	https://googledrive.com/host/0BzsEdbwmsWXtWGtwa0JUS0JqZWc/validation.js	C:/My%20Web%20Sites/My_Project/googledrive.com/host/0BzsEdbwmsWXtWGtwa0JUS0JqZWc/validation.0.delayed	(from http://www.grras.com/)
16:25:22	26299/26299	---M--	200	added ('OK')	text/javascript	date:Thu,%2004%20Feb%202016%2000:31:28%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/My_Project/www.google-analytics.com/analytics.js	(from http://www.grras.com/)
16:25:22	16329/16329	---M--	200	added ('OK')	application/x-javascript	date:Sun,%2020%20Jul%202014%2003:08:15%20GMT	https://eaab25b6958ba25cfed14bcd8a8bacbdb6d33bc8.googledrive.com/host/0BzsEdbwmsWXtWGtwa0JUS0JqZWc/validation.js	C:/My%20Web%20Sites/My_Project/eaab25b6958ba25cfed14bcd8a8bacbdb6d33bc8.googledrive.com/host/0BzsEdbwmsWXtWGtwa0JUS0JqZWc/validation.js	(from http://www.grras.com/)
16:25:24	718/718	---M--	200	added ('OK')	text/xml	date:Mon,%2022%20Feb%202016%2010:54:55%20GMT	http://www.grras.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/My_Project/www.grras.com/xmlrpc0db0.php	(from http://www.grras.com/)
16:25:24	17911/17911	---MCZ	200	added ('OK')	application/javascript	etag:W/%2255f7d00d-45f7%22	https://bettercontactform.com/contact/media/9/8/9830df58a7273ec35d6930d82dec3a557c6a5de5.js	C:/My%20Web%20Sites/My_Project/bettercontactform.com/contact/media/9/8/9830df58a7273ec35d6930d82dec3a557c6a5de5.js	(from http://www.grras.com/)
16:25:25	1384/1384	---M--	200	added ('OK')	application/rss+xml	date:Tue,%2003%20Mar%202015%2013:55:17%20GMT	http://www.grras.com/comments/feed/	C:/My%20Web%20Sites/My_Project/www.grras.com/comments/feed/index.html	(from http://www.grras.com/)
16:25:27	87133/87133	---M-Z	200	added ('OK')	text/html	etag:%221800d7-418f-52c596e40b840%22	http://www.grras.com/page/2/	C:/My%20Web%20Sites/My_Project/www.grras.com/page/2/index.html	(from http://www.grras.com/)
16:25:33	82965/82965	---M--	200	added ('OK')	application/rss+xml	date:Sat,%2020%20Feb%202016%2007:10:38%20GMT	http://www.grras.com/feed/	C:/My%20Web%20Sites/My_Project/www.grras.com/feed/index.html	(from http://www.grras.com/)
